"Type","Tidal_Class","future_slr","antecedent_slr","future_drought","future_extreme_rainfall","historical_drought","historical_extreme_rainfall","historical_storms","future_storms"
"Delta_30028","Meso",0.254100978374481,1.5373831987381,9.49729061126709,0,0.740273237228394,1.89047622680664,21,0.989737668039091
"Delta_50000","Micro",0.215718552470207,1.35764920711517,0,10.1047315597534,1.56750667095184,2.47174692153931,4,0.339608133174881
"Delta_50001","Micro",0.21953184902668,2.52489137649536,0,3.08854699134827,1.64694929122925,2.17806887626648,0,0.0107440267515443
"Delta_70000","Meso",0.252431660890579,5,0,1.04589819908142,1.08574521541595,1.59984290599823,0,0
"Delta_70001","Meso",0.252431660890579,5,0,1.69781851768494,0.223884671926498,0.863570630550385,0,0
"Delta_70002","Meso",0.250350147485733,5,2.34534907341003,0,0.788370788097382,1.66925394535065,0,0
"Delta_70003","Meso",0.246506407856941,5,7.34918022155762,0,0.740642368793488,1.77860939502716,0,0
"Delta_70004","Meso",0.203626066446304,2.99726176261902,0,14.6620483398438,1.11266541481018,2.09563493728638,56,0.937045984712829
"Delta_70005","Meso",0.203626066446304,2.65503191947937,0,15.5679998397827,1.30955600738525,2.18147277832031,52,0.934551598232496
"Delta_70006","Micro",0.206413984298706,2.79635882377625,0,18.6829643249512,1.46338200569153,2.24903583526611,52,0.92842681911365
"Delta_70007","Micro",0.206413984298706,3.14602494239807,0,18.6713562011719,1.5781022310257,2.13502407073975,44,0.925604618284214
"Delta_70008","Micro",0.207300618290901,2.66756820678711,0,20.012882232666,1.86792385578156,1.60107851028442,31,0.911130208087946
"Delta_70009","Micro",0.271051734685898,0.437326520681381,0,33.1670875549316,1.04476797580719,1.24883306026459,0,0
"Delta_70010","Micro",0.284132063388824,2.66751599311829,0,31.7173900604248,1.5962575674057,1.33818113803864,0,0
"Delta_70011","Micro",0.282469689846039,2.7029755115509,0,36.5071907043457,1.53132951259613,1.23078584671021,0,0
"Delta_70012","Micro",0.279807060956955,2.68958806991577,0,42.7740097045898,1.49017870426178,1.28515899181366,0,0
"Delta_70013","Micro",0.210181385278702,3.04703736305237,0,36.1825790405273,0.706417500972748,1.17177891731262,1,0.0410175142538406
"Delta_70014","Micro",0.210181385278702,3.038902759552,0,39.6383361816406,1.12023890018463,1.63867795467377,1,0.0318995782083208
"Delta_8735","Micro",0.358973532915115,3.69977307319641,42.9856758117676,0,1.77959358692169,2.17933821678162,24,0.999293859228613
"Delta_8736","Meso",0.247106164693832,5,26.4567203521729,0,1.40716087818146,1.49616622924805,0,0
"Delta_8739","Micro",0.22381916642189,2.78751087188721,0,2.2544572353363,1.96820533275604,1.91559660434723,0,0
"Delta_8740","Meso",0.249072343111038,2.40921020507812,8.14824295043945,0,2.26040387153625,1.92144763469696,22,0.993655656206593
"Delta_8741","Micro",0.20917734503746,1.75019943714142,0,5.88994121551514,1.87703764438629,1.43023693561554,61,0.959405192002107
"Delta_8742","Micro",0.261464536190033,2.61563038825989,1.4263117313385,0,1.58840203285217,2.29555583000183,15,0.999955267338355
"Delta_8743","Micro",0.360484838485718,5,35.6540069580078,0,2.58327603340149,2.91311717033386,1,0.473072241709214
"Delta_8745","Micro",0.239462941884995,0.524551272392273,12.0397520065308,0,2.10577154159546,1.92035913467407,16,0.999587233179416
"Delta_8746","Micro",0.225037291646004,0.460360795259476,0,24.1436424255371,2.01010012626648,2.54709625244141,16,0.970052880682109
"Delta_8747","Meso",0.216312140226364,5,0,22.0972461700439,1.65831196308136,2.6294732093811,0,0
"Delta_8748","Micro",0.226008132100105,1.66747355461121,0,9.07278442382812,2.26342082023621,1.9666131734848,4,0.59076734457828
"Delta_8749","Micro",0.291005313396454,3.56337094306946,0,20.0539073944092,0.630475640296936,1.58073377609253,0,0.00806848883304012
"Delta_8750","Micro",0.258398085832596,5,29.7358341217041,0,2.03446960449219,1.6709451675415,7,0.876538964972174
"Delta_8751","Macro",0.242058306932449,3.07712244987488,0,7.60296583175659,1.6331901550293,2.75074148178101,36,0.991870113775517
"Delta_8753","Micro",0.209225326776505,3.07411479949951,0,24.9537792205811,0.988908648490906,3.08399605751038,5,0.0964648990193404
"Delta_8754","Micro",0.274368822574615,2.42835521697998,0,24.3115653991699,2.41360139846802,0.940312683582306,0,0
"Delta_8757","Micro",0.266541987657547,5,66.1478500366211,0,2.00250625610352,1.85584485530853,0,0.829160570949401
"Delta_8758","Meso",0.177140057086945,2.88800048828125,0,13.7790107727051,0.0564785823225975,1.51070606708527,2,0.302422206675566
"Delta_8760","Micro",0.214675098657608,0.331613928079605,0,9.23627758026123,1.8084374666214,2.70060086250305,25,0.980320627680723
"Delta_8761","Micro",0.320627689361572,3.32251906394958,15.4882526397705,0,0.807373821735382,2.37095260620117,31,0.95297456480512
"Delta_8762","Micro",0.217068716883659,5,0,24.0761299133301,1.09733879566193,1.68159818649292,0,0
"Delta_8763","Micro",0.230066016316414,0.52574348449707,0,17.0629138946533,2.15652680397034,1.6897531747818,50,1
"Delta_8764","Micro",0.233474969863892,2.20280885696411,0,8.85878562927246,2.31274914741516,1.34656631946564,0,0
"Delta_8765","Micro",0.208084061741829,2.84932780265808,0,28.9813995361328,2.10088872909546,1.63100945949554,6,0.892711529915205
"Delta_8766","Micro",0.218090578913689,2.22366499900818,0,17.0238265991211,1.29488456249237,2.47225451469421,6,0.562454326771103
"Delta_8767","Micro",0.234874993562698,2.12429809570312,0,35.5865364074707,1.92262351512909,1.81334066390991,0,0
"Delta_8768","Micro",0.21953184902668,2.56349539756775,0,0.164494603872299,1.7271374464035,2.14534473419189,0,0
"Delta_8769","Meso",0.177140057086945,3.04421067237854,0,32.5861396789551,0,1.54797315597534,1,0.152279576840976
"Delta_8770","Micro",0.222916841506958,1.46401154994965,0,10.3321743011475,1.59218406677246,2.36338090896606,4,0.383412079782448
"Delta_8771","Meso",0.216768428683281,1.83557319641113,0,20.1341972351074,1.55631625652313,1.78091943264008,1,0
"Delta_8772","Meso",0.250539809465408,1.23485958576202,21.6356334686279,0,1.91193199157715,1.69350838661194,0,0.176130768436457
"Delta_8775","Micro",0.217280820012093,0.472605913877487,0,14.0268001556396,1.8454657793045,2.59783029556274,22,0.97239955645503
"Delta_8776","Micro",0.222916841506958,1.51715171337128,0,5.33180713653564,1.65319275856018,2.30595374107361,6,0.463520200051572
"Delta_8779","Micro",0.351434350013733,5,38.2872924804688,0,2.36130952835083,2.64496874809265,2,0.729718412634338
"Delta_8780","Meso",0.247921794652939,2.48822045326233,12.8038339614868,0,2.20041608810425,1.48829019069672,18,0.998033578325485
"Delta_8781","Micro",0.23116859793663,2.18940401077271,0,7.04553842544556,2.94133973121643,3.16635632514954,0,0
"Delta_8782","Micro",0.212768748402596,1.39480566978455,0,4.55705070495605,2.20407700538635,1.70705366134644,55,0.968975772582141
"Delta_8783","Meso",0.249072343111038,2.35968399047852,8.5084228515625,0,2.29071307182312,1.62443470954895,21,0.985760951417587
"Delta_8784","Meso",0.252077281475067,1.38736808300018,8.14321613311768,0,2.63223576545715,3.02977156639099,28,0.994495691664064
"Delta_8785","Micro",0.219543412327766,0.623189568519592,0,30.6364841461182,1.98935425281525,1.84216451644897,2,0.0448998350847878
"Delta_8786","Micro",0.232132762670517,0.68483304977417,0,14.2477102279663,1.45789015293121,0.54689234495163,13,0.997759195606288
"Delta_8787","Meso",0.259770721197128,2.24953508377075,17.7821483612061,0,1.63872706890106,1.45847368240356,16,0.984099047824265
"Delta_8788","Micro",0.632394671440125,3.47974967956543,0,6.41703414916992,1.74426054954529,1.36631500720978,28,0.999095205124279
"Delta_8795","Micro",0.283518731594086,2.66789698600769,0,31.0707454681396,1.61961030960083,2.0369701385498,0,0
"Delta_8797","Micro",0.263935476541519,5,66.5563735961914,0,2.04351902008057,2.01806831359863,4,0.999129402847711
"Delta_8799","Micro",0.237495854496956,2.85019707679749,13.2361679077148,0,2.32535552978516,1.62585508823395,1,0
"Delta_8801","Micro",0.236525610089302,2.28160643577576,0,16.7064476013184,1.60638165473938,1.72251689434052,62,1
"Delta_8802","Meso",0.250539809465408,1.26727306842804,24.9740982055664,0,1.48736035823822,1.33655786514282,0,0.21765730092185
"Delta_8805","Meso",0.233780741691589,2.72590804100037,0,37.9118690490723,1.9332857131958,2.23106336593628,2,0
"Delta_8806","Micro",0.256074070930481,2.33220267295837,0,1.41978359222412,2.31724691390991,2.52065777778625,22,0.999999771907263
"Delta_8808","Micro",0.279807060956955,2.00821709632874,0,43.3406944274902,1.4577157497406,0.995688915252686,0,0
"Delta_8809","Micro",0.428631126880646,0.572002410888672,11.7167253494263,0,1.69728112220764,1.34835755825043,15,0.999326771450457
"Delta_8810","Meso",0.252569407224655,5,0,7.63341283798218,1.04641783237457,1.43335711956024,0,0
