"pressure_def","Type","csqueeze","fut_csqueeze","fut_barriers","sed_supp","fut_dams","fut_slr","ant_slr","fut_gwsub","gwsub","fut_drought","fut_ext_rain","storms","hist_drought","hist_ext_rain","Tidal_Class","fut_storms","prop_estab","sea_net_change","land_net_change","climate","land_net_change_obs","sea_net_change_obs","csqueeze_1","fut_csqueeze_1","cdev","fut_cdev","Geomorphology"
1,"Delta_30028","H","H","Low","H","H",1,0,1,1,1,0,1,0,1,"M",1,"H","Gain_neutrality","Loss","arid",-1,1,1,1,"Low","Low","Delta"
1,"Delta_50000","H","H","Low","H","H",0,0,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Delta"
1,"Delta_50001","M","M","Medium","H","H",0,1,0,1,0,0,0,1,1,"H",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_70000","M","M","Medium","H","L",1,1,1,1,0,0,0,0,0,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_70001","H","H","Low","H","H",1,1,0,1,0,0,0,0,0,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Low","Low","Delta"
1,"Delta_70002","M","M","Medium","H","H",1,1,0,1,0,0,0,0,0,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Low","Delta"
1,"Delta_70003","M","M","Medium","H","H",1,1,1,1,1,0,0,0,1,"M",0,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"Medium","Medium","Delta"
1,"Delta_70004","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"M",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_70005","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"M",1,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_70006","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_70008","L","L","High","H","H",0,1,1,1,0,1,1,1,1,"H",1,"H","Gain_neutrality","Loss","humid",-1,1,1,1,"High","High","Delta"
1,"Delta_70009","L","L","High","H","H",1,0,1,1,0,1,0,0,0,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
1,"Delta_70010","L","L","High","L","L",1,1,1,1,0,1,0,0,1,"H",0,"H","Loss","Loss","humid",-1,-1,1,1,"High","High","Delta"
