chng_type,Type,area_ha
gain,Delta_30028,237.8713948
loss,Delta_30028,1474.214498
gain,Delta_50000,430.2512766
loss,Delta_50000,736.3078772
gain,Delta_50001,1691.569385
loss,Delta_50001,2542.983745
gain,Delta_70000,3598.359719
loss,Delta_70000,9591.242566
gain,Delta_70001,3405.896285
loss,Delta_70001,9790.456378
gain,Delta_70002,1637.022053
loss,Delta_70002,5145.778076
gain,Delta_70003,1274.078923
loss,Delta_70003,3999.763101
gain,Delta_70004,4940.939321
loss,Delta_70004,6217.380512
gain,Delta_70005,3703.107288
loss,Delta_70005,7419.465898
gain,Delta_70006,2595.718339
loss,Delta_70006,6986.053064
gain,Delta_70007,2396.5229
loss,Delta_70007,4620.123419
gain,Delta_70008,6557.696861
loss,Delta_70008,9262.776956
gain,Delta_70009,2655.100178
loss,Delta_70009,9171.90047
gain,Delta_70010,883.4027427
loss,Delta_70010,1930.745901
gain,Delta_70011,1823.901416
loss,Delta_70011,5011.929557
gain,Delta_70012,1518.260753
loss,Delta_70012,6426.638653
gain,Delta_70013,685.6502447
loss,Delta_70013,593.1567538
gain,Delta_70014,3019.466155
loss,Delta_70014,2830.536134
gain,Delta_8735,8.465024485
loss,Delta_8735,19.42717097
gain,Delta_8736,6464.316474
loss,Delta_8736,17212.34623
gain,Delta_8739,130.4219034
loss,Delta_8739,1857.605791
gain,Delta_8740,154.7167177
loss,Delta_8740,1114.478223
gain,Delta_8741,2587.242696
loss,Delta_8741,1613.332499
gain,Delta_8742,159.6313133
loss,Delta_8742,1136.087326
gain,Delta_8743,260.0467183
loss,Delta_8743,1486.03689
gain,Delta_8745,569.6131351
loss,Delta_8745,4444.173099
gain,Delta_8746,113.3436714
loss,Delta_8746,4098.431555
gain,Delta_8747,194.6694363
loss,Delta_8747,644.5873756
gain,Delta_8748,431.7874354
loss,Delta_8748,2652.771844
gain,Delta_8749,546.5808125
loss,Delta_8749,1049.786372
gain,Delta_8750,1610.593591
loss,Delta_8750,3767.362886
gain,Delta_8751,376.514628
loss,Delta_8751,1100.66508
gain,Delta_8753,148.2451289
loss,Delta_8753,1235.883463
gain,Delta_8754,919.6841637
loss,Delta_8754,729.1575152
gain,Delta_8757,13.78028728
loss,Delta_8757,60.26403127
gain,Delta_8758,507.7646658
loss,Delta_8758,4228.954166
gain,Delta_8760,294.7440098
loss,Delta_8760,790.9186489
gain,Delta_8761,1035.045993
loss,Delta_8761,6505.338745
gain,Delta_8762,4097.398491
loss,Delta_8762,13200.00677
gain,Delta_8763,1300.298506
loss,Delta_8763,2573.962576
gain,Delta_8764,432.859807
loss,Delta_8764,1166.272601
gain,Delta_8765,2404.568741
loss,Delta_8765,27316.64425
gain,Delta_8766,2782.824844
loss,Delta_8766,12599.72156
gain,Delta_8767,142.257003
loss,Delta_8767,1901.7175
gain,Delta_8768,761.5258711
loss,Delta_8768,32620.57501
gain,Delta_8769,1906.170311
loss,Delta_8769,5362.484831
gain,Delta_8770,657.7407735
loss,Delta_8770,749.583766
gain,Delta_8771,134.594206
loss,Delta_8771,1108.252434
gain,Delta_8772,358.5616395
loss,Delta_8772,4561.302569
gain,Delta_8775,598.5024643
loss,Delta_8775,1268.850096
gain,Delta_8776,652.4905609
loss,Delta_8776,566.2134808
gain,Delta_8779,2694.599634
loss,Delta_8779,8202.80992
gain,Delta_8780,536.477308
loss,Delta_8780,979.7953711
gain,Delta_8781,779.62133
loss,Delta_8781,40209.87848
gain,Delta_8782,108.5163928
loss,Delta_8782,180.4266371
gain,Delta_8783,142.4725541
loss,Delta_8783,385.2226641
gain,Delta_8784,177.6635513
loss,Delta_8784,1189.221877
gain,Delta_8785,156.0112614
loss,Delta_8785,551.1978905
gain,Delta_8786,1936.887701
loss,Delta_8786,15740.07464
gain,Delta_8787,514.424453
loss,Delta_8787,1748.778326
gain,Delta_8788,1179.954089
loss,Delta_8788,2341.322895
gain,Delta_8795,281.0560324
loss,Delta_8795,930.157304
gain,Delta_8797,1666.479296
loss,Delta_8797,2216.116933
gain,Delta_8799,9.952017216
loss,Delta_8799,21.78380591
gain,Delta_8801,1.377993855
loss,Delta_8801,25.34522808
gain,Delta_8802,822.2028621
loss,Delta_8802,1293.87468
gain,Delta_8805,353.0493203
loss,Delta_8805,3207.156311
gain,Delta_8806,92.35112147
loss,Delta_8806,67.06321063
gain,Delta_8808,1294.446541
loss,Delta_8808,3189.546734
gain,Delta_8809,9.552141836
loss,Delta_8809,32.67439774
gain,Delta_8810,543.7428012
loss,Delta_8810,1038.600695
gain,Delta_8811,22.16066195
loss,Delta_8811,341.9982793
gain,Delta_8812,138.8300938
loss,Delta_8812,604.1275111
gain,Delta_8813,478.0888914
loss,Delta_8813,2034.222988
gain,Delta_8814,119.8394954
loss,Delta_8814,408.2995473
gain,Delta_8815,3006.943246
loss,Delta_8815,2017.942673
gain,Delta_8816,1118.818091
loss,Delta_8816,672.360171
gain,Delta_8817,89.18681517
loss,Delta_8817,167.4284362
gain,Delta_8818,705.2087764
loss,Delta_8818,2221.079701
gain,Delta_8819,80.48191652
loss,Delta_8819,296.5305242
gain,Delta_8820,180.8646354
loss,Delta_8820,1176.02573
gain,Delta_8821,199.7908875
loss,Delta_8821,487.3428702
gain,Delta_8822,29.59002667
loss,Delta_8822,38.65009256
gain,Delta_8823,986.5606585
loss,Delta_8823,24592.0763
gain,Delta_8824,1233.072882
loss,Delta_8824,1783.654835
gain,Delta_8825,17.06434779
loss,Delta_8825,65.45968513
gain,Delta_8826,578.4704628
loss,Delta_8826,716.6928884
gain,Delta_8827,808.5057403
loss,Delta_8827,2955.840224
gain,Delta_8828,507.836441
loss,Delta_8828,1594.101333
gain,Delta_8830,3346.774923
loss,Delta_8830,3416.380953
gain,Delta_8831,81.00458244
loss,Delta_8831,136.3203826
gain,Delta_8832,222.2607906
loss,Delta_8832,797.8953036
gain,Delta_8834,1827.331975
loss,Delta_8834,7468.295066
gain,Delta_8835,2538.818495
loss,Delta_8835,4659.868664
gain,Delta_8836,6967.014882
loss,Delta_8836,49945.30058
gain,Estuary_10,0.192497627
loss,Estuary_10,1.154769256
gain,Estuary_1002,324.4850119
loss,Estuary_1002,1173.639789
gain,Estuary_10040,0.228076189
loss,Estuary_10040,4.783378851
gain,Estuary_1005,0.345971788
loss,Estuary_1005,16.39959953
gain,Estuary_10082,0.172817805
loss,Estuary_10082,0.168491855
gain,Estuary_10089,0.630170143
loss,Estuary_10089,0.732258605
loss,Estuary_10099,0.196574249
gain,Estuary_101,65.39659376
loss,Estuary_101,50.60456759
gain,Estuary_1010,1.997818901
loss,Estuary_1010,113.2180451
loss,Estuary_10105,0.049358988
gain,Estuary_10108,0.84099653
loss,Estuary_10108,1.038898126
gain,Estuary_10111,0.148778132
loss,Estuary_10111,0.843066214
gain,Estuary_10124,1.537857372
loss,Estuary_10124,10.15258177
gain,Estuary_1014,214.8779066
