chng_type,Type,area_ha
gain,Delta_30028,529.5200325
loss,Delta_30028,225.1864643
gain,Delta_50000,58.51078105
loss,Delta_50000,11.25821114
gain,Delta_50001,179.0888273
loss,Delta_50001,123.4726095
gain,Delta_70000,2704.635188
loss,Delta_70000,911.2390006
gain,Delta_70001,1839.736971
loss,Delta_70001,1200.974789
gain,Delta_70002,1573.856942
loss,Delta_70002,471.5773045
gain,Delta_70003,986.6673225
loss,Delta_70003,333.7475679
gain,Delta_70004,3622.851646
loss,Delta_70004,524.8592044
gain,Delta_70005,330.0923636
loss,Delta_70005,453.0278818
gain,Delta_70006,1687.6091
loss,Delta_70006,725.5956442
gain,Delta_70007,995.903426
loss,Delta_70007,347.3301595
gain,Delta_70008,10367.13186
loss,Delta_70008,849.0334306
gain,Delta_70009,754.2494852
loss,Delta_70009,1403.647708
gain,Delta_70010,506.1409502
loss,Delta_70010,727.3724637
gain,Delta_70011,424.9939216
loss,Delta_70011,1013.752667
gain,Delta_70012,586.3819629
loss,Delta_70012,1090.633166
gain,Delta_70013,1016.269647
loss,Delta_70013,166.4104491
gain,Delta_70014,1812.434732
loss,Delta_70014,295.25931
gain,Delta_8735,36.69702895
loss,Delta_8735,8.594661021
gain,Delta_8736,34929.2176
loss,Delta_8736,2670.060913
gain,Delta_8739,39.12021872
loss,Delta_8739,61.72955939
gain,Delta_8740,327.6465782
loss,Delta_8740,57.03390552
gain,Delta_8741,1680.685923
loss,Delta_8741,63.18961685
gain,Delta_8742,68.12418883
loss,Delta_8742,98.4455624
gain,Delta_8743,166.0583705
loss,Delta_8743,36.53557513
gain,Delta_8745,8.026601134
loss,Delta_8745,51.81074627
gain,Delta_8746,34.76614346
loss,Delta_8746,174.9652979
gain,Delta_8747,188.7274439
loss,Delta_8747,102.22608
gain,Delta_8748,54.5906773
loss,Delta_8748,293.6628368
gain,Delta_8749,110.7197136
loss,Delta_8749,151.6065215
gain,Delta_8750,32.05336286
loss,Delta_8750,17.12481583
gain,Delta_8751,340.0346866
loss,Delta_8751,139.5791442
gain,Delta_8753,1005.255817
loss,Delta_8753,78.32339676
gain,Delta_8754,325.207314
loss,Delta_8754,138.004928
gain,Delta_8757,12.77546872
loss,Delta_8757,6.121442756
gain,Delta_8758,800.6224444
loss,Delta_8758,464.542467
gain,Delta_8760,71.96020231
loss,Delta_8760,29.7985773
gain,Delta_8761,335.250119
loss,Delta_8761,331.0602598
gain,Delta_8762,2840.684529
loss,Delta_8762,922.4133669
gain,Delta_8763,1984.479613
loss,Delta_8763,170.7792261
gain,Delta_8764,974.1855914
loss,Delta_8764,242.4255504
gain,Delta_8765,370.1622561
loss,Delta_8765,671.8183203
gain,Delta_8766,1236.497763
loss,Delta_8766,372.4708815
gain,Delta_8767,241.7224728
loss,Delta_8767,81.38657973
gain,Delta_8768,184.5180883
loss,Delta_8768,1524.872749
gain,Delta_8769,2485.457064
loss,Delta_8769,920.8880419
gain,Delta_8770,102.97899
loss,Delta_8770,25.28554622
gain,Delta_8771,178.831962
loss,Delta_8771,108.4802523
gain,Delta_8772,850.0967098
loss,Delta_8772,448.5870339
gain,Delta_8775,99.11687886
loss,Delta_8775,51.36312191
gain,Delta_8776,148.8970638
loss,Delta_8776,47.97138066
gain,Delta_8779,60.21613382
loss,Delta_8779,62.70515336
gain,Delta_8780,513.7105929
loss,Delta_8780,143.532425
gain,Delta_8781,108.8292437
loss,Delta_8781,315.9246667
gain,Delta_8782,5.752712116
loss,Delta_8782,0.353346926
gain,Delta_8783,298.4466783
loss,Delta_8783,79.93227997
